"Line 0";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
"Line 1";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
"Line 2";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
"Line 3";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
"Line 4";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
"Line 5";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
"Line 6";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
"Line 7";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
"Line 8";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
"Line 9";"Field 1";"Field 2 with 
 newline";"Field איטפשן 3"
